cable,1-1,cable,,,,,,米,,0,
cable,TPY-5CFB168-305,5CFB-168編同軸電纜(305米),,305米,,,black,米,3.07,0,
cable,TPY-5CFB168-500,5CFB-168編同軸(500米),,500米,,,black,米,3.252,0,
cable,TPY-5CFB168-GPOW,5C-FB-168編同軸+電源,,,,,black,米,13,0,
cable,TPY-5CFB168Y-500,5CFB-168編+1.6Y同軸(500米),,500米,,,black,米,20,0,
cable,TPY-5CFB96-200,5CFB-96編同軸電纜(200米),,200米,,,black,米,0,0,
cable,TPY-5CFB96-305,5CFB-96編同軸電纜(305米),,305米,,,black,米,0,0,
telecommunications_equipment,TPY-6P4C,6P4C 接頭(三叉)水晶頭,,,,,,只,0.6,0,
telecommunications_equipment,TPY-6P6C,6P6C 水晶接頭,,,,,,PC,0.45,0,
cable,TPY-7CFB192-1K,7CFB-192編同軸電纜(1000米),,1000米,,,black,米,0,0,
cable,TPY-7CFB192-305,7CFB-192編同軸電纜(305米),,305米,,,black,米,11.5,0,
cable,TPY-7CFB192Q-1K,7CFB192編雙網雙鋁同軸電纜-1000,,1000米,,,black,米,5.32,0,
cable,TPY-7CFB192Y-1K,7CFB-192編+Y雙網雙鋁同軸-1000,,1000米,,,black,米,17,0,
telecommunications_equipment,TPY-81H,太平洋 標緻資訊上蓋一孔+1*CAT5,1*CAT5 +蓋板,,,,white,只,3.3,0,
telecommunications_equipment,TPY-81H-C6,太平洋 標緻資訊上蓋一孔+1*CAT6,1*CAT6 +蓋板,,,,white,只,3.3,0,
telecommunications_equipment,TPY-82H,二孔8C資訊插座(蓋板+2*CAT5),2*CAT5 +蓋板,,,,white,只,0,0,
telecommunications_equipment,TPY-82H-C6,二孔8C資訊插座(蓋板+2*CAT6),2*CAT6 +蓋板,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-1,8C資訊插座(料號更改為RJ8C-1),,,,,white,只,6.96,0,
telecommunications_equipment,TPY-8C-3,一孔8C資訊插座(含蓋板),,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-4-1,資訊上蓋二孔,,,,,white,只,0.2,0,
telecommunications_equipment,TPY-8C-5,CAT5-8C資訊插座小套-無印刷,,,,,white,只,0.22,0,
telecommunications_equipment,TPY-8C-6,太平洋 標緻 CAT6 插座 (含小套),,,,,white,只,0,0,
telecommunications_equipment,TPY-8C-6-1,8C資訊 CAT6 插座(不含小套),,,,,white,只,60,0,
telecommunications_equipment,TPY-8C-BO,資訊1孔接線盒-空盒,1孔8芯,,,,white,只,13,0,
telecommunications_equipment,TPY-8C-BO-2,資訊2孔接線盒-空盒 ,2孔8芯,,,,white,只,20,0,
telecommunications_equipment,TPY-8P8C,8P8C 接頭(三叉)CAT5E水晶頭,,,,,,只,0.65,0,
telecommunications_equipment,TPY-8P8C-1,8P8C CAT5 保護套(灰),,,,,,只,0.4,0,
telecommunications_equipment,TPY-8P8C-2,8P8C 雙色保護套,,,,,,只,1,0,
telecommunications_equipment,TPY-8P8C-3,8P8C CAT5E 三隻腳保護套,CAT5E 三隻腳保護套,,,,,PC,0.83,0,
telecommunications_equipment,TPY-8P8C-4,8P8C  CAT5E 三隻腳保護套,CAT5E 三隻腳保護套,,,,,只,0,0,
telecommunications_equipment,TPY-8P8C-B,8P8C CAT5保護套(藍色),,,,,blue,只,0,0,
telecommunications_equipment,TPY-8P8C-FTP,8P8C 接頭(三叉)CAT5E FTP接頭,CAT5E FTP接頭,,,,,只,5,0,
telecommunications_equipment,TPY-8P8C-R,8P8C CAT5保護套(紅),,,,,red,只,0,0,
telecommunications_equipment,TPY-8P8C-Y,8P8C CAT5保護套(黃色),,,,,yellow,只,0,0,
telecommunications_equipment,TPY-8P8C6,CAT6 8P8C 水晶頭(二件式),CAT6 水晶頭(二件式),,,,,只,12,4.5,
telecommunications_equipment,TPY-8P8C6-1,CAT6 8P8C 保護套(灰),,,,,,只,1.8,0,
telecommunications_equipment,TPY-8P8C6-2,CAT6 8P8C 水晶頭(一体式),,,,,,只,12,0,
telecommunications_equipment,TPY-8P8C6-3,CAT6 8P8C保護套(爪),CAT6爪保護套,,,,,PC,1.5,0,
telecommunications_equipment,TPY-8P8C6-B,CAT6 8P8C保護套(藍),CAT6爪保護套,,,,blue,只,0.33,0,
telecommunications_equipment,TPY-8P8C6-FTP,CAT6 8P8C FTP 水晶頭,,,,,,只,3,0,
terminal_board,TPY-A10P,太平洋A型10Pterminal_board,,,,,,支,30,0,
other_wires,TPY-ALARM-C2F200,防盜線2芯 200米,,200米,,,,米,497,0,
other_wires,TPY-ALARM-C4F200,防盜線4芯 200米,,200米,,,,米,1069,0,
telecommunications_equipment,TPY-BNC-NB2,BNC-單路數位影像傳輸器,,,,,,條,12,0,
telecommunications_equipment,TPY-BNC-SBT,BNC-單路數位影像傳輸器(鎖螺絲),,,,,,條,25,0,
telecommunications_equipment,TPY-BNCS-NB2,BNC-單路數位影像傳輸器(避雷),,,,,,條,45,0,
walkie_talkie,TPY-BS,BS-12V-1AZ 電源整流器1AZ,,,,,,台,0,0,
successor,TPY-C0102I,快速接續座一組一孔2P 180度(黑),,,,,black,PC,0.07,0,
successor,TPY-C0102I-1,快速接續座一組一孔2P180度(黃色,,,,,yellow,PC,0.07,0,
successor,TPY-C0102I-B,快速接續座一組一孔2P180度(藍色,,,,,blue,PC,0.06,0,
successor,TPY-C0102I-J,快速接續座P180度腳_日新黑色,,,,,black,PC,0,0,
successor,TPY-C0102I-JC,快速接續座2P180度腳色_日新黃色,,,,,yellow,PC,0.06,0,
successor,TPY-C0102L,快速接續座一組一孔2P 90度(黑),,,,,black,PC,0.13,0,
successor,TPY-C0102L-A,快速接續座一組一孔2P 90度(有腳,,,,,black,PC,0.12,0,
successor,TPY-C0102L-A-1,快速接續座一組一孔2P90度有腳黃,,,,,yellow,PC,0.12,0,
successor,TPY-C0102L-J,快速接續座一孔2P90度腳_日新,,,,,black,PC,0.13,0,
successor,TPY-C0102L-JC,快速接續座一孔2P90度腳色_日新,,,,,black,PC,0.12,0,
successor,TPY-C0104I,快速接續座一組一孔4P 180度(黑),,,,,black,PC,0.13,0,
successor,TPY-C0104I-J,快速接續座一孔4P180度腳_日新,,,,,black,PC,0,0,
successor,TPY-C0104I-JC,快速接續座一孔4P180度腳色_日新,,,,,black,PC,0,0,
successor,TPY-C0104L,快速接續座一組一孔4P 90度(黑),,,,,black,PC,0.13,0,
successor,TPY-C0104L-A,快速接續座一組一孔4P 90度(有腳,,,,,black,PC,0.12,0,
successor,TPY-C0104L-A-1,快速接續座一組一孔4P 90度腳模2,,,,,black,PC,0,0,
successor,TPY-C0104L-J,快速接續座4P90度腳_日新黑色,,,,,black,PC,0,0,
successor,TPY-C0104L-JC,快速接續座4P90度腳色_日新黃色,,,,,yellow,PC,0,0,
successor,TPY-C0106I,快速接續座一組一孔6P 180度(黑),,,,,black,PC,0.18,0,
successor,TPY-C0106L,快速接續座一孔一孔6P 90度(黑),,,,,black,PC,0.18,0,
successor,TPY-C0208I,快速接續座一組二孔8P 180度(黑),,,,,black,PC,0.26,0,
successor,TPY-C0208I-B,快速接續座一組二孔8P 180度(藍),,,,,blue,PC,0.26,0,
successor,TPY-C0208L,快速接續座一組二孔8P 90度(黑),,,,,black,PC,0.26,0,
successor,TPY-C0208L-B,快速接續座一組二孔8P 90度(藍),,,,,blue,PC,0.24,0,
successor,TPY-C0416I,快速接續座一組四孔16P 180度(黑,,,,,black,PC,0.55,0,
successor,TPY-C0416I-B,快速接續座一組四孔16P180度(藍),,,,,blue,PC,0.55,0,
successor,TPY-C0416L,快速接續座一組四孔16P 90度(黑),,,,,black,PC,0.53,0,
successor,TPY-C0416L-1,快速接續座一組四孔16P 90度模2,,,,,black,PC,0,0,
successor,TPY-C0416L-B,快速接續座一組四孔16P 90度(藍),,,,,blue,PC,0.53,0,
successor,TPY-C0624I,快速接續座一組六孔24P 180度(黑,,,,,black,PC,0.74,0,
successor,TPY-C0624L,快速接續座一組六孔24P 90度(黑),,,,,black,PC,0,0,
successor,TPY-C0832I,快速接續座一組八孔32P 180度(黑,,,,,black,PC,1.1,0,
successor,TPY-C0832L,快速接續座一組八孔32P 90度(黑),,,,,black,PC,0,0,
terminal_board,TPY-C10P,太平洋 C型10Pterminal_board,,,,,,支,30,0,
terminal_board,TPY-CAT10P,HIGH BAND CAT5 資訊用terminal_board,,,,,,只,0,0,
internet_cable,TPY-CAT4P,CAT 5Einternet_cable4P大同藍色305米,,,,,blue,米,1310,0,
internet_cable,TPY-CAT4P+Y,CAT 5Einternet_cable 4P+Y,,,,,gray,米,19,0,
internet_cable,TPY-CAT4P-1,CAT 5Einternet_cable4P(大同)305米,,,,,gray,米,1310,0,
internet_cable,TPY-CAT4P-1-1,CAT 5Einternet_cable4P(大同)黑皮305米,,,,,black,米,1700,0,
internet_cable,TPY-CAT4P-2,CAT5Einternet_cable4P(大山)305米,,,,,gray,米,1380,0,
internet_cable,TPY-CAT4P-3,CAT5Einternet_cable4P(太平洋)305米,,,,,gray,米,1750,0,
internet_cable,TPY-CAT4P-5,CAT5E網線4P(超五類)灰305銅包鋁,,,,,gray,米,2745,0,
internet_cable,TPY-CAT4P-O, CAT5 internet_cable(其他品牌),,,,,gray,米,0,0,
internet_cable,TPY-CAT4P-C,CAT 5Einternet_cable4P(TPY)305米,,,,,gray,米,3550,0,
internet_cable,TPY-CAT4P-O, CAT5 internet_cable(其他品牌),,,,,gray,米,,,
internet_cable,TPY-CAT64P-PEWC,太平洋 CAT6 internet_cable,,,,,white,米,,,
telecommunications_equipment,TPY-CAT6,CAT6-8C資訊插座(無小套),,,,,white,只,50,0,
internet_cable,TPY-CAT6-4P,CAT 6internet_cable4P(其他品牌),,,,,white,米,13,0,
telecommunications_equipment,TPY-CAT6-KFTP,CAT6-8C遮蔽式 資訊插座,,,,,white,只,40,0,
telecommunications_equipment,TPY-CAT6-O,CAT6 8C資訊插座 其他顏色,,,,,,只,28,0,
internet_cable,TPY-CAT6-TT,CAT 6internet_cable305米,,,,,,箱,5185,0,
internet_cable,TPY-CAT6-TTB,CAT6internet_cable(藍色),,,,,blue,箱,2180,0,
internet_cable,TPY-CAT6PE-TT,CAT6 黑皮 internet_cable,,,,,black,箱,3050,0,
phone_cable,TPY-CCL10P-200,10Pphone_cable10P-0.5-200,,,,,gray,米,14,0,
phone_cable,TPY-CCL20P-200,20P通信線,,,,,gray,米,26.4,0,
phone_cable,TPY-CCL4P-200,4Pphone_cable4P*0.5*200,,,,,gray,米,6.5,0,
phone_cable,TPY-CCL5P-200,5P電信線5P*0.5m/m*200(純銅),,,,,gray,米,13,0,
phone_cable,TPY-CCL7P-200,7P電信線7P*0.5m/m*200(純銅),,,,,gray,米,13,0,
phone_cable,TPY-CL1P-200,1P電信線,,,,,gray,米,7.6,0,
phone_cable,TPY-CL2P-100,2P通信線0.5m/m*100米-大山,,,,,gray,米,4,0,
phone_cable,TPY-CL2P-200,通信線2P(200米)-純銅-大山,,,,,gray,米,4.1,0,
phone_cable,TPY-CL4C-200,4C電信線4C*0.5m/m*200(鍍鍚),,,,,gray,米,3.3,0,
phone_cable,TPY-CL4C-200-A,4C電信線(2P)4C*0.5m/m*200(銅),,,,,gray,米,3.5,0,
phone_cable,TPY-DCL00P,數位電話電線100P*0.5,,,,,gray,米,285,0,
phone_cable,TPY-DC10P,數位通信線10P(200米)銅包鋼,,,,,gray,米,0,0,
phone_cable,TPY-DCL10P-200,數位通信線10P(200米) 純銅,,,,,gray,米,20.5,0,
phone_cable,TPY-DCL20P-200,20P數位電線20P*0.5*200,,,,,gray,米,31,0,
phone_cable,TPY-DCL30P-200,30P數位電線30P*0.5*200,,,,,gray,米,42,0,
phone_cable,TPY-DCL4P,數位通信線4P(200米)銅包鋁,,,,,gray,米,0,0,
phone_cable,TPY-DCL4P-1,數位通信線4P(200米)大山,,,,,gray,米,9.5,0,
phone_cable,TPY-DCL4P-100,數位通信線4P(100米)大山,,,,,gray,米,5.8,0,
phone_cable,TPY-DCL4P-B,數位通信線4P(200米)銅包鋼,,,,,gray,米,0,0,
phone_cable,TPY-DCL50P,數位電線50P*0.5,,,,,gray,米,95,0,
telecommunications_equipment,TPY-Dis100P,太平洋 標緻100P分線箱,,,,,,個,270,0,
telecommunications_equipment,TPY-Dis30p,太平洋 標緻30P分線箱,,,,,,個,65,0,
telecommunications_equipment,TPY-Dis50P,太平洋 標緻50P分線箱,,,,,,個,187,0,
telecommunications_equipment,TPY-F-NF2,F頭-單路數位影像傳輸器,,,,,,條,16,0,
telecommunications_equipment,TPY-F-SFT,F頭-單路數位影像傳輸器(鎖螺絲),,,,,,條,25,0,
telecommunications_equipment,TPY-F10,太平洋 標緻F10 C型10Pterminal_board,,,,,,組,130,0,
telecommunications_equipment,TPY-F100,太平洋 標緻F11 C型100Pterminal_board,,,,,,組,0,0,
telecommunications_equipment,TPY-F20,太平洋 標緻F20 C型20Pterminal_board,,,,,,組,0,0,
telecommunications_equipment,TPY-F50,太平洋 標緻F11 C型50Pterminal_board,,,,,,組,0,0,
fiber_optic_digital_products,TPY-FB-SMJUM,單模光纖跳線,,,,,,條,0,0,
telecommunications_equipment,TPY-FS-NF2,F頭-單路數位影像傳輸器(避雷),,,,,,條,45,0,
telecommunications_equipment,TPY-GPOW,接地電源 國際WNF-110W,,,,,,只,29.16,0,
telecommunications_equipment,TPY-GPOW-1,母插,,,,,,只,8,0,
telecommunications_equipment,TPY-GPOW-2,公插,,,,,,只,22,0,
telecommunications_equipment,TPY-GPOW-3,國際 雙連接地電源,,,,,,只,48,0,
telecommunications_equipment,TPY-GPOW-4,電源T -220V,,,,,,只,29,0,
walkie_talkie,TPY-HA-92,HA-92影像室內機,,,,,,台,0,0,
walkie_talkie,TPY-HAC-1,HAC-1電鎖控製器,,,,,,台,0,0,
walkie_talkie,TPY-HCV-08,HCV-08影像分配器,,,,,,台,0,0,
walkie_talkie,TPY-HT-2402,HT-2402/24V/2V電源,,,,,,台,0,0,
walkie_talkie,TPY-HVP268,HVP268+防水型8戶門口,,,,,,台,0,0,
telecommunications_equipment,TPY-IDF3U-19,"50-150P 19""機櫃式patch_panel",,,,,,式,350,0,
telecommunications_equipment,TPY-IDF4U-19,"50-100-150P 4U 19""機櫃式patch_panel",50-100-150P,,,,,PC,250,0,
successor,TPY-J-E,固定針(J20101BL-1#),,,,,,支,0.222,0.18,
successor,TPY-J0102,快速successor2P(黑)小孔,,,,,black,只,0.15,0,
successor,TPY-J0102-1,快速successor2P(黑)大孔,,,,,black,只,0.1,0,
successor,TPY-J0102-B,快速successor2P(藍)小孔,,,,,black,只,0.1,0,
successor,TPY-J0102-CRB,DDKsuccessor2P(黑)帶15CM紅黑線,,,,,black,只,0.2,0,
successor,TPY-J0102-Y,快速successor2P(黃)小孔,,,,,,只,0.1,0,
successor,TPY-J0104,快速successor4P(黑),,,,,black,只,0.3,0,
successor,TPY-J0104-B,4Psuccessor(藍色),,,,,,只,0.3,0,
successor,TPY-J0104-H,4P 快速successor(有勾),,,,,,PC,0.3,0,
successor,TPY-J0106,快速successor6P(黑),,,,,black,只,0.45,2,
cable,TPY-JUMPER-C,LAN CAT6跳線,CAT6跳線,,,,,卷,40,0,
other_wires,TPY-LPOWC-0.75,輕便纜線0.75MM/30F*2C-100M,,,,,black,卷,715,0,稱細蕊控制線
other_wires,TPY-LPOWC-1.25,輕便纜線1.25MM/50F*2C-100M,,,,,black,卷,775,0,稱細蕊控制線
other_wires,TPY-LPOWC-2.0,輕便纜線2.0MM *2C-100M,,,,,black,卷,1570,0,稱細蕊控制線
digital_media_box,TPY-M10PR,10P 端子模組面板,,,,,,PC,0,0,
digital_media_box,TPY-M4C,太平洋 8埠 1進7出電話接口模組,RU,,,,,PC,0,131.3,
digital_media_box,TPY-M4CD,太平洋 8埠 2進14出電話接口模組,,,,,,PC,0,131.3,
digital_media_box,TPY-M75PWR,,,,,,,SET,0,0,
digital_media_box,TPY-M8C,太平洋 8埠 CAT6跳線板(模組式),8埠 CAT6跳線板,,,,white,PC,118,140,
digital_media_box,TPY-M8C-1,太平洋 8埠 CAT6跳線板(壁掛式),8埠 CAT6跳線板,,,,black,PC,160,140,
digital_media_box,TPY-M8C-3,太平洋 8埠 CAT5跳線板(壁掛式),8埠 CAT5跳線板,,,,black,PC,165,140,
telecommunications_equipment,TPY-M8C-4,太平洋 12埠 CAT6跳線板(壁掛式),12埠 CAT6跳線板,,,,black,PC,180,0,
telecommunications_equipment,TPY-M8C-5,太平洋 12埠 CAT5跳線板(壁掛式),12埠 CAT6跳線板,,,,black,PC,155,0,
digital_media_box,TPY-M8CA,太平洋 CAT5資訊SWITCH 集線分享,,,,,white,PC,220,670,
digital_media_box,TPY-M8CG,太平洋GigaCAT6網路分享式集線器,,,,,white,組,476,0,
digital_media_box,TPY-MADA,太平洋 DV 7.5 電源供應器,,,,,,只,52,0,
digital_media_box,TPY-MBOX,digital_media_box B22-B23-B32,,,,,,PC,2400,0,
digital_media_box,TPY-MBRA,太平洋 模組固定支架-5U-19CM,,,,,black,組,26,0,
digital_media_box,TPY-MBRA-1,太平洋 模組固定支架-1U-5CM,,,,,white,SET,0,0,
digital_media_box,TPY-MBRA-3,太平洋 模組固定支架-3U-15CM,,,,,white,組,35,0,
digital_media_box,TPY-MBRA-6,太平洋 模組固定支架-6U-23CM,,,,,white,組,8.8,0,
digital_media_box,TPY-MBRA-8,太平洋 模組固定支架-8U-32CM,,,,,white,組,11,0,
digital_media_box,TPY-MC10P,10P C型terminal_board模組,,,,,,組,0,0,
digital_media_box,TPY-MCATV7,太平洋 7埠 電視1進6出訊號模組,,,,,white,PC,54,141,
digital_media_box,TPY-MCATV7-1,1進6出電視模組,,,,,white,支,0,0,
digital_media_box,TPY-MCATVA,太平洋 電視訊號放大器,,,,,white,PC,83,350,
digital_media_box,TPY-MDCPOW,太平洋 DC 7.5V 電源模組-1對2,,,,,white,A,1,0,
digital_media_box,TPY-MDCPOW-1,太平洋 DC 7.5V 電源模組-1對1,,,,,white,A,1,0,
patch_panel,TPY-MDF1200P,patch_panel雙側1200P,,,,,,排,420,0,
patch_panel,TPY-MDF1200P-1,patch_panel雙側1200P加銅,1200P加銅,,,,,排,0,0,
patch_panel,TPY-MDF1200P-2,patch_panel雙側1200P(客製大),,,,,,排,0,0,
patch_panel,TPY-MDF300P,patch_panel單側300P,,,,,,排,0,0,
patch_panel,TPY-MDF600P,patch_panel單側600P,,,,,,排,630,0,
patch_panel,TPY-MDF600P-1,patch_panel單側600P加銅,,,,,,排,0,0,
digital_media_box,TPY-MEDIA-BOX,資訊箱,,,,,,只,1300,0,
digital_media_box,TPY-MEDIA-COMBO,組合 A-B-C,,,,,,SET,0,0,
digital_media_box,TPY-MFI,太平洋 光纖融接盒 FIBER BOX,,,,,,PC,9.6,11.2,
digital_media_box,TPY-MGPOW1,2孔電源用支撐架,,,,,,PC,3,0,
digital_media_box,TPY-MJUMER015,15CM CAT6 模組跳線,,,,,,PC,0.002,0,
digital_media_box,TPY-MJUMER020,20CM CAT6 模組跳線,,,,,,PC,10.2,0,
digital_media_box,TPY-MNB,太平洋 N型架 供光纖盒及無線IP,,,,,white,只,60,0,
digital_media_box,TPY-MPLATE,太平洋 輔助預留板,,,,,white,PC,2.8,0,
digital_media_box,TPY-MPLATE-1,預備盲蓋,,,,,white,PC,3.5,0,
digital_media_box,TPY-MPOW,國際 110電源模組-2孔,,,,,white,PC,0,0,
digital_media_box,TPY-MPOW-1,國際  110電源模組-4孔,,,,,white,PC,0,0,
digital_media_box,TPY-MPOW-1-1,4孔電源用支撐架,,,,,white,片,3.5,0,
digital_media_box,TPY-MSTV6,太平洋 7埠 數位衛星模組1進6出,,,,,white,PC,150,350,
digital_media_box,TPY-MSTV6-1,數位衛星模組1進6出機板,,,,,white,支,0,0,
other_wires,TPY-POWC-0.75,電源平行線 0.75MM*2C(30F)-100M,,,,,black,卷,530,0,
other_wires,TPY-POWC-0.75-200,電源平行線 0.75MM*2C(30F)-200M,,,,,black,卷,1150,0,
other_wires,TPY-POWC-1.25,電源平行線 1.25MM*2C(50F)-100M,,,,,black,卷,760,0,
other_wires,TPY-POWC-1.25-200,電源平行線 1.25MM*2C(50F)-200M,,,,,black,卷,1236,0,
cable,TPY-POWC-2.0,2.0白扁線,,,,,,卷,1463,0,
telecommunications_equipment,TPY-RJ4C,4C卡式電信插座,,,,,white,只,7,0,
telecommunications_equipment,TPY-RJ4C-G,4C卡式綠 電信插座,,,,,green,只,6,0,
telecommunications_equipment,TPY-RJ8C,CAT5-8C無工具資訊座,,,,,,只,10.8,0,
telecommunications_equipment,TPY-RJ8C-1,插座小套-印刷,,,,,,只,0.2,0,
telecommunications_equipment,TPY-RJ8C-2,CAT5-8C資訊插座(無小套),,,,,,只,0.1,0,
telecommunications_equipment,TPY-RJ8C-3,插座小套-無印刷,,,,,,只,8.5,0,
telecommunications_equipment,TPY-RJ8CB,不使用-B資訊插含小套,,,,,,只,8.6,0,
telecommunications_equipment,TPY-S-1,不銹鋼面板一孔(含鐵片),,,,,silver,組,1.5,0,
telecommunications_equipment,TPY-S-2,不銹鋼面板二孔(含鐵片),,,,,silver,組,1.2,0,
telecommunications_equipment,TPY-S-A,彩色鐵片-白鐵面板用,,,,,silver,片,3.2,0,
telecommunications_equipment,TPY-S-B,不銹鋼面板用螺絲,,,,,silver,只,0.7,0,
telecommunications_equipment,TPY-S-W642H,防潮& 防塵電信插座,,,,,white,只,1,0,
other_wires,TPY-SPEAKER-C,喇叭線30蕊_紅黑-55M,,,,,,卷,1480,0,
walkie_talkie,TPY-TEL,整套walkie_talkie,,,,,,只,1050,0,
walkie_talkie,TPY-TEL-1,明谷門口機,,,,,,只,585,0,
walkie_talkie,TPY-TEL-2,明谷walkie_talkie,,,,,,只,430,0,
walkie_talkie,TPY-TEL-3,明谷電源,,,,,,只,260,0,
walkie_talkie,TPY-TEL-4,門口機防水箱(大),,,,,,PC,480,0,
telecommunications_equipment,TPY-TEL-5,門口機防水箱(小),,,,,,PC,420,0,
walkie_talkie,TPY-TELPOW,12V8.4A電源供應器,,,,,,台,0,0,
telecommunications_equipment,TPY-TV1,太平洋 壁內分岐器,,,,,,只,18,0,
telecommunications_equipment,TPY-TV2,電視末端,,,,,white,只,0.11,0,
telecommunications_equipment,TPY-TV3,電視中端,,,,,white,只,18,0,
telecommunications_equipment,TPY-TV3-1,電視中端(T),,,,,white,只,0,0,
telecommunications_equipment,TPY-UB,UB 端子,,,,,,PC,0.8,0,
telecommunications_equipment,TPY-USBPOW,USB 110V 充電插座,,,,,white,只,0.3,0,
telecommunications_equipment,TPY-UY,UY 端子,,,,,,只,1.1,0,
telecommunications_equipment,TPY09-1,4C-6C-8C三合一夾線工具,,,,,,支,0,0,
power_outlet,TY-55POW,5.5M^2 125V 15A 電源含單連蓋板,,,,,,PC,0,0,
power_outlet,TY-SWITCH,X切開關含蓋板,,,,,white,PC,7.6,0,
